,business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,category,WiFi,RestaurantsTakeOut,Alcohol,BikeParking,RestaurantsReservations,OutdoorSeating,RestaurantsDelivery,RestaurantsPriceRange2,RestaurantsAttire,NoiseLevel,HasTV,RestaurantsGoodForGroups,GoodForKids
35,N-U0o7hIKy3Z6KY_O4RuPg,PICEA997,997 Dupont Street,Toronto,ON,M6H 1Z5,43.6698988,-79.43154859999999,3.0,32,"Sports Bars, Italian, Nightlife, Restaurants, Bars, Pizza",u'free',True,u'full_bar',,True,False,False,2.0,u'casual',u'average',True,True,True
36,q1qjPXe0C2VXTInnWNLudQ,D-Spot Dessert Cafe,1060 The Queensway,Toronto,ON,M8Z 1P7,43.6232196,-79.5173811,4.0,16,"Desserts, Cafes, Food, Ice Cream & Frozen Yogurt, Restaurants, Bubble Tea",,False,,True,,,,2.0,,,,,
37,Iojwvqi475VZ7n27LGfnBw,The Cure,1484 Dundas Street W,Toronto,ON,M6K 1T5,43.6497245738,-79.4315845899,3.5,31,"Sandwiches, Breakfast & Brunch, Nightlife, Cocktail Bars, Food, Bars, Restaurants, American (Traditional), Canadian (New), Diners, Specialty Food, Delis, Meat Shops, Delicatessen",u'no',True,u'full_bar',True,True,False,False,2.0,'casual',u'average',False,True,True
38,4w-q_Wc77JzQZSIehKFTzA,Brockton Haunt,1150 College Street,Toronto,ON,M6H 1B6,43.652360563,-79.4339237061,4.0,25,"Juice Bars & Smoothies, Restaurants, Sandwiches, Food, Cafes, Coffee & Tea",'no',True,u'none',True,False,False,False,1.0,None,,None,False,False
39,q8MUVVuQpfR6v0HBHmAFxw,The Combine Eatery,162 Danforth Avenue,Toronto,ON,M4K 1N2,43.676642,-79.357421,3.5,82,"Canadian (New), Bakeries, Restaurants, Food, Bars, Burgers, Nightlife, Mexican, American (New)",u'no',True,u'full_bar',True,True,True,False,2.0,u'casual',u'average',False,True,True
40,7MssGOl7IeOYCPn6uuSGxw,Bánh Cuon Thanh Trúc,2422 St Clair Ave W,Toronto,ON,M6N 1L2,43.6695111,-79.4824124,3.5,26,"Restaurants, Vietnamese",u'no',True,,False,False,False,,2.0,u'casual',u'quiet',True,True,True
41,nxzyOxgWh5gT_YNbVaBx6A,Nutrition House,120 Lynn Williams Street,Toronto,ON,M6K 3N6,43.639060799999996,-79.4177271,3.5,3,"Food, Specialty Food, Health Markets",,,,,,,,,,,,,
42,gU9EIsUkriQzDM91Sv3CtA,Kimchi House,586 Bloor St W,Toronto,ON,M6G 1K4,43.66495820000001,-79.4127496,4.0,36,"Restaurants, Korean",u'no',True,,True,True,False,False,2.0,'casual',u'average',True,True,True
43,SAYeaclKsoqMavBfHpvV8Q,York Street Cafe,60 York Street,Toronto,ON,M5J 1S8,43.646279299999996,-79.3830074,1.5,8,"Breakfast & Brunch, Restaurants",,False,,,True,,,,'casual',,,True,False
44,8wpfZ3zJJ8LKO-z6C8hX-A,Pennylicks Gourmet Cafe,281 Augusta Ave,Toronto,ON,M5T 2M1,43.6559277,-79.4024678,4.0,6,"Food, Restaurants, Sandwiches, Coffee & Tea, Desserts",,True,u'none',,False,,False,2.0,u'casual',,,False,
45,6T8YFkN7xkGlBfLMqdp28w,Golden Bakeshop,3371 Lake Shore Boulevard W,Toronto,ON,M8W 1N1,43.5960867387,-79.5267761783,5.0,3,"Bakeries, Food",,,,,,,False,1.0,,,,,
46,Z3UBeP5EoKIXIDmEdA3JmQ,Big Tuna Poké Bar,599 Bloor Street W,Toronto,ON,M6G 1K5,43.6646035,-79.41293420000001,3.0,65,"Poke, Asian Fusion, Food, Restaurants, Hawaiian, Japanese",u'no',True,u'beer_and_wine',True,False,False,False,2.0,'casual',u'average',False,False,True
47,l7RCvKqA61Jzm98gaqIhvw,Brass Taps Pizza Pub,934 College St,Toronto,ON,M6H 1A4,43.6537865,-79.4261354,3.5,34,"Pizza, Nightlife, Restaurants, Pubs, Bars",u'free',True,u'full_bar',True,True,True,False,2.0,u'casual','average',True,True,False
48,WOQNQx7SrMalJMXFENitpg,Ravi Soup,1533 Queen Street W,Toronto,ON,M6R 1A7,43.639322311099995,-79.4425679049,4.0,9,"Sandwiches, Soup, Restaurants",,True,,,False,,,1.0,,,,True,True
49,c_FTil8s5PS2l_YJDQAXhA,Hogtown Pub & Oysters,633 College Street W,Toronto,ON,M6G 3A7,43.6548045,-79.41499350000001,4.0,50,"Restaurants, Bars, Seafood, Nightlife, Pubs",u'no',True,u'full_bar',True,True,False,False,2.0,u'casual',u'average',True,True,False
50,9B2kV3k4t72mr-o4Ry_soQ,Athens Pastries,1681 Lakeshore Blvd E,Toronto,ON,M4L 3W6,43.663092453800004,-79.3107140268,3.5,9,"Bakeries, Food, Coffee & Tea",u'no',True,,True,,True,False,1.0,,,,,
51,MrqG_TzPLMRrob--EHNdOw,Margo's,2416 Lakeshore Boulevard,Toronto,ON,M8V 1C4,43.614660707700004,-79.4890733063,4.0,5,"Sandwiches, Poutineries, Restaurants, Cafes",,True,u'none',,False,False,False,2.0,u'casual',u'quiet',False,False,True
52,COExayvsDDJOjWTOFZ7a4A,Panafest,"2708 Jane Street, Unit 5",Toronto,ON,M3L 2E8,43.74203320000001,-79.5143671,3.0,5,"African, Bars, Restaurants, Nightlife",,True,,,,,,,,,,True,False
53,rz_MbxHYHWwZMT-F5fgfUA,Cusina Lounge,288 Wilson Avenue,Toronto,ON,M3H 1S8,43.7372891748,-79.4349258766,2.0,24,"Barbeque, Filipino, Buffets, Fish & Chips, Restaurants",'no',True,,,False,True,False,2.0,u'casual',u'loud',True,True,True
54,Idk-QTyUZq9w0ALh5cyvrw,Pizza Pizza,228 Queen Street W,Toronto,ON,M5V 1Z6,43.6503226,-79.3900762,2.0,12,"Pizza, Restaurants, Italian, Chicken Wings",,True,u'none',,False,,,1.0,,u'loud',True,True,True
55,0txNpCq2YunZSL7jHIiGlA,Lardon Restaurant,390 Roncesvalles Avenue,Toronto,ON,M6R 2M9,43.6508821,-79.45084920000001,4.0,19,"Restaurants, French, Italian",u'no',True,u'full_bar',,True,False,False,3.0,u'casual',u'average',False,True,False
56,qL2LoSauX4IG2KHtQevFUw,Lucky Lin's Restaurant,226 Markham Road,Toronto,ON,M1J 3C2,43.7443362,-79.2194828,3.5,7,"Thai, Restaurants",,True,,,True,False,True,2.0,u'casual',,False,True,True
57,fZ5jJ_TOJHeaRi5UBdRvYw,Soup It Up,20 Bloor Street E,Toronto,ON,M4W 3G7,43.670313,-79.3864459,2.0,6,"Restaurants, American (Traditional)",u'no',True,u'none',,False,False,False,1.0,u'casual',u'loud',False,False,False
58,Ycp3Agr7dt71TZkeKV7jng,Le Gourmand,152 Spadina Avenue,Toronto,ON,M5V 3S6,43.6481229,-79.39664090000001,4.0,214,"Restaurants, Desserts, Sandwiches, Cafes, French, Coffee & Tea, Food, Breakfast & Brunch",u'free',True,u'none',True,False,True,False,2.0,u'casual',u'average',False,True,True
59,n9eudXq_35C0htRLtHZ2XQ,Bathurst Local,322 Bathurst Street,Toronto,ON,M5T 2S3,43.651491799999995,-79.4058339,4.5,13,"Beer, Wine & Spirits, Whiskey Bars, Coffee & Tea, Beer Bar, Breakfast & Brunch, Bars, Cocktail Bars, Food, Cafes, Wine Bars, Restaurants, Local Flavor, Nightlife",,,u'full_bar',True,True,False,,1.0,,u'average',False,True,
60,YH8Bn-7pLR-SFR8MCgQj1w,Jules Cafe Patisserie,617 Mount Pleasant Road,Toronto,ON,M4S 2M5,43.7041655,-79.3882122,3.5,44,"Bakeries, Food, Mediterranean, French, Restaurants",,True,,True,False,,False,3.0,'casual',u'average',False,False,False
61,4FE9FM8uvn9CV76Bxfxogw,T&T Roti Trinidad & Toronto Roti,Market 707,Toronto,ON,,43.652196136499995,-79.4055628113,4.0,9,"Caribbean, Restaurants",u'no',True,u'none',True,False,True,False,1.0,'casual',u'average',,True,True
62,JHlliXHouAUSHLtiiMyUqA,Cool Star,1985 Queen Street E,Toronto,ON,M4L 1J1,43.669759899999995,-79.3001663,4.5,3,"Vietnamese, Restaurants, Ice Cream & Frozen Yogurt, Food",,,,,,,,,,,,,
63,ZK0Q-hn46I8JrRTleg_dYQ,Mai Thai Restaurant & Catering,2364 Yonge Street,Toronto,ON,M4P 2E6,43.708772700000004,-79.3987906,3.0,15,"Restaurants, Asian Fusion, Caterers, Event Planning & Services, Thai, Desserts, Food",u'no',True,,True,True,False,True,2.0,u'casual',u'quiet',False,True,True
64,VcZQXpk6vYAXwemOrC9PTw,Sagano,"2035 Kennedy Road, 14th Floor",Toronto,ON,M1T 3G2,43.776815,-79.28299200000001,3.0,25,"Japanese, Restaurants",u'no',False,u'full_bar',False,True,False,False,3.0,'casual',u'quiet',False,True,True
65,yex6vCCeLKsnWiNW5aGrLA,Cinnabon,"1800 Sheppard Avenue E, Unit 2024A",Toronto,ON,M2J 5A7,43.7778779699,-79.3446541205,4.5,3,"Desserts, Food, Bakeries",,True,,True,,,True,2.0,,,,,
66,uF86ZhygpBEGr3CudNemYA,O.Noir,620 Church St,Toronto,ON,M4Y 2G2,43.6691213,-79.382764,3.5,301,"Canadian (New), American (New), Restaurants",u'no',False,u'full_bar',True,True,False,False,3.0,u'casual',u'average',False,True,False
67,dvbcUnKv2awsIxog7dO4vw,Hong Kong Bistro Cafe,472 Dundas Street W,Toronto,ON,M5T 1G8,43.65344520000001,-79.3968608,4.0,87,"Cafes, Chinese, Restaurants",u'no',True,'beer_and_wine',True,False,False,False,1.0,u'casual',u'average',True,True,True
68,06Agn-DDxhc1A1u935l93Q,Mike's Fish Market,93 Front Street E,Toronto,ON,M5E 1C3,43.6482941062,-79.3714279309,5.0,6,"Specialty Food, Food, Seafood Markets",,,,True,,,,2.0,,,,,
69,fGdUxfeEWp9pn2sAa9rv2w,Roselle,362 King Street E,Toronto,ON,M5A 1K9,43.6535432,-79.3620478,4.5,171,"Food, Coffee & Tea, Bakeries, Ice Cream & Frozen Yogurt, Specialty Food",'no',True,'none',True,,True,False,2.0,,,,,
70,DlFKsdGY7-7c4u7_A-W99Q,Bakery & Kaffee Haus,238 Queen Street W,Toronto,ON,M5V 1Z9,43.650130600000004,-79.3904119,3.5,36,"Coffee & Tea, Internet Cafes, Bakeries, Food",'free',,,True,,False,False,2.0,,,,,
71,7A1rTh8gGbJTyCIcbdb6dg,Rakia Bar,1402B Queen Street E,Toronto,ON,M4L 1C7,43.664755799999995,-79.32429520000001,4.0,16,"Beer, Wine & Spirits, Canadian (New), Restaurants, Lounges, Bars, Modern European, Nightlife, Food",u'free',False,u'full_bar',,True,True,False,3.0,u'dressy',u'loud',False,True,False
72,5Qoq8cif3nMCQUN-urH8YA,The Pickle Barrel,1 Yorkdale Road,Toronto,ON,M6A 2T9,43.724688799999996,-79.4538904,2.5,170,"Restaurants, Cocktail Bars, Canadian (New), Bars, Nightlife, Diners",'free',True,u'full_bar',True,True,False,False,2.0,u'casual',u'average',True,True,True
73,DtzDpAflD41-rI6njywacw,Gino's Pizza & Wing Machine,2387 Yonge Street,Toronto,ON,M4P 2H4,43.7097839401,-79.3988528475,2.0,8,"Restaurants, Food, Pizza",,True,u'none',,False,False,True,1.0,'casual',,True,True,True
74,NoT7u2QNEvsVbH9MIzAzlw,Si Lom Thai Bistro,534 Church Street,Toronto,ON,M4Y,43.6650073,-79.38081109999999,4.0,106,"Thai, Restaurants, Vegan",u'no',True,u'full_bar',True,False,True,False,2.0,'casual',u'average',False,True,True
75,yW9IIc1cBIlFlbOG_1pp_Q,La Salumeria,2021 Yonge Street,Toronto,ON,M4S 2A2,43.701319700000006,-79.39705620000001,4.5,20,"Delicatessen, Specialty Food, Cheese Shops, Food",,True,,True,,,,2.0,,,,,
76,fHHQ9s6wWPkTMyNVq-0SHQ,JJ Bean,130 Adelaide Street W,Toronto,ON,M5H,43.6496512778,-79.38361304930001,4.0,18,"Coffee & Tea, Coffee Roasteries, Food, Bakeries",'free',True,,True,,True,False,1.0,,,,,
77,6DWFVwgm3d9jfBUOkJuANQ,Enzo,646 Queen Street W,Toronto,ON,M6J 1E4,43.6467407,-79.40632409999999,4.0,15,"Food, Do-It-Yourself Food, Restaurants, Italian, Pizza",u'free',True,u'beer_and_wine',True,True,False,True,2.0,u'casual',u'average',True,True,True
78,3KG13qMCNegGT9oIxWAAWw,Propeller Coffee,50 Wade Avenue,Toronto,ON,M6H 3Y5,43.659413799999996,-79.44488570000001,4.0,38,"Food, Specialty Food, Coffee & Tea",'free',True,,True,,False,,2.0,,,,,
79,1Epby_tsFDci4sP0Nbjwsw,Pho Vietnam,1280 Kennedy Rd,Toronto,ON,M1P,43.7577305,-79.2786325,3.0,91,"Restaurants, Vietnamese",u'no',True,u'beer_and_wine',False,True,False,False,1.0,u'casual',u'average',True,True,True
80,vpm1jV0OCc9fHFPPTUiyjA,St Andrew Poultry,"Kensington Market, 17 Saint Andrew Street",Toronto,ON,M5T 1K7,43.654070000000004,-79.3996529,3.0,19,"Caterers, Food, Specialty Food, Butcher, Grocery, Event Planning & Services",,,,False,,,,1.0,,,,,
81,yWwIUmeenyAO7nwc7U0U5A,Niwan Rolls King,"3260 Midland Avenue, Unit F101 & 102",Toronto,ON,M1V 0C5,43.804666915,-79.2867640033,3.0,12,"Restaurants, Chinese",u'free',True,u'none',False,False,False,True,1.0,'casual',u'average',True,True,True
82,9_CGhHMz8698M9-PkVf0CQ,Little Coxwell Vietnamese & Thai Cuisine,986 Coxwell Avenue,Toronto,ON,M4C 3G5,43.696174918500006,-79.3290924315,4.0,115,"Restaurants, Vietnamese, Thai",u'no',True,u'beer_and_wine',True,False,False,True,2.0,u'casual',u'average',False,True,True
83,r48H_sNUGmcRGX1LsEc2mg,HUSH,303 King Street West,Toronto,ON,M5V 1J5,43.6463659,-79.39027270000001,3.0,72,"Restaurants, Bars, Burgers, American (New), Canadian (New), Seafood, Nightlife",'no',True,u'full_bar',True,True,True,False,2.0,u'casual',u'average',False,True,False
84,zYzYmPLViy5Q6u7rmL8AYA,Bloke & 4th,401 King Street W,Toronto,ON,M5V 1K1,43.645406099999995,-79.39410079999999,2.5,37,"Restaurants, American (New), Tapas/Small Plates, Nightlife, Tapas Bars, Canadian (New), Dance Clubs",u'no',False,u'full_bar',False,True,False,False,3.0,u'dressy','loud',False,True,False
85,5mTOBaADm2gfO_jR8PVkTA,Dark Horse Espresso Bar,416 Front Street E,Toronto,ON,M5A 1H7,43.653057500799996,-79.3570184572,2.5,11,"Food, Coffee & Tea",'free',True,,True,,False,,1.0,,,,,
86,t_XpjR3_Cf7r9tj3w3vAbw,The Beech Tree,924 Kingston Road,Toronto,ON,M4E 1S5,43.680387100000004,-79.2888628,4.0,46,"Bars, British, Nightlife, Wine Bars, Restaurants",'no',False,u'full_bar',True,True,False,False,2.0,u'casual',u'average',False,True,False
87,GKEl7LNGUqJiQWNQ0vpH8Q,Milestones Restaurants,300 Borough Dr,Toronto,ON,M1P 4P5,43.7767555,-79.25900809999999,3.0,71,"Restaurants, Nightlife, Bars, American (Traditional), Comfort Food, Canadian (New)",u'free',True,u'full_bar',True,True,True,False,2.0,u'casual',u'average',True,True,True
88,LpwmR1unntc_8KdVfwNH9g,Bulldog Coffee,111 Richmond Street W,Toronto,ON,M5H 3K6,43.65035220000001,-79.38379509999999,4.5,25,"Restaurants, Shopping, Cafes, Public Markets, Coffee & Tea, Food",u'free',True,u'full_bar',True,False,True,False,1.0,'casual','average',False,True,True
89,yDJhScdD8cCCYfO4WNb-CQ,C'est Bon,2685 Yonge St,Toronto,ON,M4N 2H8,43.7168341,-79.4001043,3.0,46,"Chinese, Restaurants",u'no',True,u'full_bar',True,True,True,True,2.0,u'casual',u'quiet',False,True,False
90,F-bdXFkJwwENiNpMTG2ntQ,The 3 Brewers,275 Yonge St,Toronto,ON,M5B 1N8,43.6555236,-79.38022240000001,3.0,256,"Breweries, Bars, Pubs, Food, Restaurants, Gastropubs, Burgers, Nightlife",'free',True,u'full_bar',True,True,False,False,2.0,u'casual',u'loud',True,True,False
91,8vXuS7T_TZGNJk9MAdV__g,Rabba Fine Foods Stores,37 Charles Street W,Toronto,ON,M4Y 2R4,43.668223499999996,-79.3876204,3.0,12,"Grocery, Convenience Stores, Food",,False,,True,,,,2.0,,,,,
92,c78Pat78fVUBFPXYeVvbaQ,Odd Seoul,90 Ossington Avenue,Toronto,ON,M6J 2Y7,43.646190000000004,-79.419686,4.0,267,"Bars, Dive Bars, Korean, Restaurants, Asian Fusion, Nightlife",u'no',False,u'full_bar',True,False,False,False,2.0,u'casual',u'loud',False,True,False
93,jgsiHIdUdgngrBPXtP6j8g,Herbs & Nutrition,572 Bloor Street W,Toronto,ON,M6G 1K1,43.6652391,-79.4120309,4.5,32,"Health Markets, Specialty Food, Food, Grocery",,True,'none',True,,,False,2.0,,,,,
94,jbThAhrLQTvO7KYxobE89Q,Dineen Coffee,199 Bay Street,Toronto,ON,,43.6481326,-79.3795089,4.0,3,"Food, Coffee & Tea",,True,,,,,,,,,,,
95,2Xh-ZYlvm1SxcKdEaD51DA,Budapest Restaurant,1959 Gerrard Street E,Toronto,ON,M4E 2A9,43.6810473,-79.3100172,4.5,47,"Restaurants, Hungarian",u'free',True,u'beer_and_wine',False,True,False,True,2.0,'casual',u'quiet',False,True,True
96,YL1MmnQXbdqmO5zexUNvlg,Matcha Tea & Dessert,407 Spadina Avenue,Toronto,ON,M5T 2G6,43.6568094,-79.3993002,2.5,27,"Food, Japanese, Cafes, Tea Rooms, Restaurants, Asian Fusion, Bakeries, Bubble Tea, Desserts, Ramen",'free',True,u'none',True,True,False,False,1.0,'casual',u'quiet',False,True,True
